"","X","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"18215",18215,6200,"Einbýlishús",67.7,0,2,1,7030,"Bakkagerði"
"18216",18216,18009,"Íbúðareign",44.9,0,2,1,90,"Holt/Tún"
"18217",18217,26925,"Íbúðareign",100.4,0,2,2,91,"Háaleiti/Skeifa"
"18218",18218,19740,"Íbúðareign",84.9,0,2,1,3000,"Akranes"
"18219",18219,26649,"Parhús",128,0,4,2,6020,"Akureyri: Neðri brekka, Eyri, innbær"
"18220",18220,5500,"Einbýlishús",70.6,0,2,1,6020,"Akureyri: Neðri brekka, Eyri, innbær"
"18221",18221,37749,"Einbýlishús",188.8,0,4,1,2010,"Vogar"
"18222",18222,20306,"Íbúðareign",89.2,0,2,1,320,"Kópavogur: Austurbær"
"18223",18223,25425,"Íbúðareign",63,0,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"18224",18224,26465,"Íbúðareign",85.2,0,3,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"18225",18225,24000,"Íbúðareign",81.7,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"18226",18226,24500,"Íbúðareign",59.9,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"18227",18227,44958,"Íbúðareign",120.8,0,5,1,100,"Laugarneshverfi/Vogar"
"18228",18228,19497,"Íbúðareign",47.2,0,1,1,100,"Laugarneshverfi/Vogar"
"18229",18229,24399,"Íbúðareign",96.7,0,3,1,200,"Árbær"
"18230",18230,24104,"Íbúðareign",69,0,1,2,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"18231",18231,26878,"Íbúðareign",75,0,2,1,72,"Hagar/Melar vestan Hofsvallagötu"
"18232",18232,17470,"Ósamþykkt íbúð",36.2,0,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"18233",18233,28407,"Íbúðareign",86.5,0,3,1,90,"Holt/Tún"
"18234",18234,14647,"Íbúðareign",84.4,0,3,1,170,"Neðra-Breiðholt"
"18235",18235,36000,"Íbúðareign",120.6,0,3,1,284,"Bústaðahverfi"
"18236",18236,43729,"Raðhús",145.4,0,4,2,220,"Selás"
"18237",18237,43883,"Parhús",149,0,4,2,150,"Seljahverfi"
"18238",18238,24627,"Íbúðareign",51.2,0,1,1,281,"Réttarholt"
"18239",18239,24277,"Íbúðareign",69.5,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"18240",18240,24495,"Íbúðareign",81.9,0,2,1,150,"Seljahverfi"
"18241",18241,26305,"Íbúðareign",74,1,2,1,180,"Grafarholt"
"18242",18242,47472,"Íbúðareign",105.7,0,1,1,31,"Miðbær: Suður-Þingholt"
"18243",18243,17400,"Íbúðareign",55,0,1,1,6010,"Akureyri: Naustahverfi"
"18244",18244,17336,"Íbúðareign",98,0,2,1,8200,"Vestmannaeyjar"
"18245",18245,10986,"Íbúðareign",58.6,0,1,1,8200,"Vestmannaeyjar"
"18246",18246,24846,"Íbúðareign",79,0,2,1,600,"Hafnarfjörður"
"18247",18247,46446,"Íbúðareign",157.8,2,3,1,680,"Hafnarfjörður - Börð"
"18248",18248,29124,"Íbúðareign",116.8,0,3,1,700,"Garðarbær: Álftanes"
"18249",18249,16999,"Íbúðareign",52.6,0,1,1,600,"Hafnarfjörður"
"18250",18250,19167,"Íbúðareign",60.9,0,1,2,600,"Hafnarfjörður"
"18251",18251,49829,"Einbýlishús",211,0,5,3,540,"Garðabær: Arnarnes"
"18252",18252,31579,"Íbúðareign",85,0,2,1,300,"Kópavogur: Vesturbær"
"18253",18253,25451,"Íbúðareign",94.5,0,3,1,300,"Kópavogur: Vesturbær"
"18254",18254,40404,"Íbúðareign",148.5,0,3,2,320,"Kópavogur: Austurbær"
"18255",18255,22854,"Íbúðareign",97.4,0,3,2,320,"Kópavogur: Austurbær"
"18256",18256,38141,"Íbúðareign",118.1,0,4,1,320,"Kópavogur: Austurbær"
"18257",18257,17979,"Íbúðareign",59.3,0,1,1,320,"Kópavogur: Austurbær"
"18258",18258,26224,"Íbúðareign",90.5,0,2,1,351,"Kópavogur: Kórar"
"18259",18259,20077,"Íbúðareign",71.6,0,1,1,351,"Kópavogur: Kórar"
"18260",18260,33984,"Íbúðareign",118.3,0,3,1,350,"Kópavogur: Hvörf, Þing"
"18261",18261,14486,"Íbúðareign",36.8,0,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"18262",18262,35564,"Íbúðareign",89.6,1,2,1,400,"Seltjarnarnes"
"18263",18263,23895,"Íbúðareign",82.2,0,3,1,120,"Grafarvogur: Hamrar, Foldir, Hús"
"18264",18264,26453,"Íbúðareign",122.7,0,3,2,600,"Hafnarfjörður"
"18265",18265,45733,"Íbúðareign",146.4,1,3,1,680,"Hafnarfjörður - Börð"
"18266",18266,36992,"Raðhús",136.7,0,3,2,161,"Fell"
"18267",18267,29793,"Íbúðareign",56.8,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"18268",18268,30000,"Íbúðareign",114.7,0,4,2,120,"Grafarvogur: Hamrar, Foldir, Hús"
"18269",18269,34279,"Íbúðareign",93.7,0,2,1,500,"Garðabær"
"18270",18270,17377,"Íbúðareign",55.8,0,2,1,600,"Hafnarfjörður"
"18271",18271,32162,"Íbúðareign",101.7,0,3,1,680,"Hafnarfjörður - Börð"
"18272",18272,46636,"Raðhús",233.8,0,4,4,150,"Seljahverfi"
"18273",18273,23567,"Íbúðareign",68.1,0,2,1,100,"Laugarneshverfi/Vogar"
"18274",18274,59606,"Raðhús",186.2,0,4,2,80,"Hlíðar"
"18275",18275,31277,"Íbúðareign",98,0,3,1,640,"Hafnarfjörður - Ásland"
"18276",18276,28200,"Íbúðareign",79.7,1,2,1,72,"Hagar/Melar vestan Hofsvallagötu"
"18277",18277,51037,"Einbýlishús",148.8,0,4,1,6010,"Akureyri: Naustahverfi"
"18278",18278,27989,"Raðhús",140.4,0,3,1,6040,"Akureyri: Glerárhverfi"
"18279",18279,47806,"Einbýlishús",256.2,0,7,1,6030,"Akureyri: Efri brekka"
"18280",18280,24500,"Einbýlishús",119.7,0,1,3,6030,"Akureyri: Efri brekka"
